Car_id,Date,Gender,Annul_Income,Company,Model,Transmission,Color,Price,Body_Style,Dealer_Region
C_CND_000001,2022-01-02,Male,13500,Ford,Expedition,Auto,Black,26000,Suv,Middletown
C_CND_000002,2022-01-02,Male,1480000,Dodge,Durango,Auto,Black,19000,Suv,Aurora
C_CND_000003,2022-01-02,Male,1035000,Cadillac,Eldorado,Manual,Red,31500,Passenger,Greenville
C_CND_000004,2022-01-02,Male,13500,Toyota,Celica,Manual,Pale White,14000,Suv,Pasco
C_CND_000005,2022-01-02,Male,1465000,Acura,Tl,Auto,Red,24500,Hatchback,Janesville
C_CND_000006,2022-01-02,Male,850000,Mitsubishi,Diamante,Manual,Pale White,12000,Hatchback,Scottsdale
C_CND_000007,2022-01-02,Male,1600000,Toyota,Corolla,Manual,Pale White,14000,Passenger,Austin
C_CND_000008,2022-01-02,Male,13500,Mitsubishi,Galant,Auto,Pale White,42000,Passenger,Austin
C_CND_000009,2022-01-02,Male,815000,Chevrolet,Malibu,Manual,Pale White,82000,Hardtop,Pasco
C_CND_000010,2022-01-02,Female,13500,Ford,Escort,Auto,Pale White,15000,Passenger,Scottsdale
C_CND_000011,2022-01-02,Male,13500,Acura,Rl,Manual,Pale White,31000,Suv,Austin
C_CND_000012,2022-01-02,Male,13500,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Pasco
C_CND_000013,2022-01-02,Male,885000,Mercury,Grand Marquis,Auto,Black,9000,Suv,Aurora
C_CND_000014,2022-01-02,Male,13500,Bmw,323I,Auto,Pale White,15000,Hatchback,Greenville
C_CND_000015,2022-01-02,Male,722000,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Middletown
C_CND_000016,2022-01-02,Male,746000,Subaru,Forester,Manual,Pale White,17000,Hatchback,Aurora
C_CND_000017,2022-01-02,Female,535000,Hyundai,Accent,Manual,Black,18000,Hatchback,Greenville
C_CND_000018,2022-01-02,Female,570000,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Pasco
C_CND_000019,2022-01-02,Male,685000,Toyota,Land Cruiser,Auto,Pale White,33000,Suv,Janesville
C_CND_000020,2022-01-02,Male,455000,Honda,Accord,Auto,Pale White,21000,Sedan,Scottsdale
C_CND_000021,2022-01-02,Male,13500,Toyota,4Runner,Manual,Black,25000,Sedan,Austin
C_CND_000022,2022-01-02,Male,2500000,Infiniti,I30,Auto,Black,21000,Hardtop,Austin
C_CND_000023,2022-01-02,Male,585000,Audi,A4,Manual,Pale White,12000,Hardtop,Middletown
C_CND_000024,2022-01-02,Male,920000,Porsche,Carrera Cabrio,Auto,Pale White,18000,Passenger,Pasco
C_CND_000025,2022-01-02,Male,672000,Volkswagen,Jetta,Auto,Pale White,22000,Passenger,Janesville
C_CND_000026,2022-01-02,Male,801250,Dodge,Viper,Auto,Pale White,31250,Suv,Scottsdale
C_CND_000027,2022-01-02,Female,820000,Buick,Regal,Auto,Black,19000,Passenger,Austin
C_CND_000028,2022-01-02,Male,791000,Chrysler,Lhs,Manual,Pale White,41000,Hatchback,Janesville
C_CND_000029,2022-01-02,Male,13500,Chrysler,Lhs,Manual,Pale White,41000,Hatchback,Janesville
C_CND_000030,2022-01-02,Male,1020000,Saturn,Lw,Manual,Pale White,13000,Hatchback,Scottsdale
C_CND_000031,2022-01-02,Male,210000,Mitsubishi,3000Gt,Manual,Pale White,20000,Sedan,Austin
C_CND_000032,2022-01-02,Male,750000,Mercedes-B,Slk230,Manual,Pale White,14000,Hatchback,Middletown
C_CND_000033,2022-01-02,Male,635000,Honda,Accord,Auto,Pale White,19000,Sedan,Aurora
C_CND_000034,2022-01-02,Male,675000,Honda,Civic,Manual,Black,43000,Hatchback,Greenville
C_CND_000035,2022-01-02,Male,880000,Jaguar,S-Type,Auto,Black,16000,Passenger,Pasco
C_CND_000036,2022-01-03,Male,13500,Volvo,S40,Auto,Pale White,42000,Sedan,Middletown
C_CND_000037,2022-01-03,Male,13500,Mercury,Mountaineer,Auto,Pale White,21000,Suv,Aurora
C_CND_000038,2022-01-03,Male,13500,Buick,Park Avenue,Auto,Black,61000,Hatchback,Greenville
C_CND_000039,2022-01-03,Male,941000,Mitsubishi,Montero Sport,Auto,Pale White,39000,Suv,Pasco
C_CND_000040,2022-01-03,Female,13500,Nissan,Sentra,Auto,Black,16000,Passenger,Pasco
C_CND_000041,2022-01-03,Male,13500,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Janesville
